ts,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,conn_state,label,scenario,ML_label
1540469302.53864,192.168.1.132,58687,216.239.35.4,123,udp,-,0.114184,48.0,48.0,1,1,SF,,Benign1,0
1540469197.400159,192.168.1.132,1900,239.255.255.250,1900,udp,-,160.367579,7536.0,0.0,24,0,S0,,Benign1,0
1540469385.734089,192.168.1.132,32893,216.239.35.8,123,udp,-,0.016986,48.0,48.0,1,1,SF,,Benign1,0
1540469831.302625,192.168.1.132,53395,2.16.60.82,443,tcp,-,0.003497,0.0,0.0,5,3,SF,,Benign1,0
1540469831.265405,192.168.1.132,52801,192.168.1.1,53,udp,dns,0.036724,34.0,311.0,1,1,SF,,Benign1,0
1540469418.379528,192.168.1.132,1900,239.255.255.250,1900,udp,-,384.518261,15072.0,0.0,48,0,S0,,Benign1,0
1540470081.850824,192.168.1.132,58124,216.239.35.12,123,udp,-,0.270332,48.0,48.0,1,1,SF,,Benign1,0
1540470187.222098,192.168.1.132,35313,216.239.35.0,123,udp,-,0.111429,48.0,48.0,1,1,SF,,Benign1,0
1540470355.430009,192.168.1.132,46064,216.239.35.4,123,udp,-,0.114433,48.0,48.0,1,1,SF,,Benign1,0
1540470419.608808,192.168.1.132,45230,216.239.35.8,123,udp,-,0.016984,48.0,48.0,1,1,SF,,Benign1,0
1540470731.346472,192.168.1.132,53396,2.16.60.82,443,tcp,-,0.003497,0.0,0.0,4,2,SF,,Benign1,0
1540470731.305747,192.168.1.132,48230,192.168.1.1,53,udp,dns,0.040227,34.0,311.0,1,1,SF,,Benign1,0
1540471110.727073,192.168.1.132,49002,216.239.35.12,123,udp,-,0.270346,48.0,48.0,1,1,SF,,Benign1,0
1540471275.097352,192.168.1.132,46411,216.239.35.0,123,udp,-,0.109684,48.0,48.0,1,1,SF,,Benign1,0
1540471418.303992,192.168.1.132,49057,216.239.35.4,123,udp,-,0.114426,48.0,48.0,1,1,SF,,Benign1,0
1540471494.493815,192.168.1.132,42282,216.239.35.8,123,udp,-,0.01698,48.0,48.0,1,1,SF,,Benign1,0
1540469863.253209,192.168.1.132,1900,239.255.255.250,1900,udp,-,1633.04433,60288.0,0.0,192,0,S0,,Benign1,0
1540471631.533708,192.168.1.132,56406,2.16.60.139,443,tcp,-,0.003498,0.0,0.0,4,2,SF,,Benign1,0
1540471631.350066,192.168.1.132,34110,192.168.1.1,53,udp,dns,0.183145,34.0,311.0,1,1,SF,,Benign1,0
1540472191.611346,192.168.1.132,52937,216.239.35.12,123,udp,-,0.272344,48.0,48.0,1,1,SF,,Benign1,0
1540472314.983162,192.168.1.132,53418,216.239.35.0,123,udp,-,0.109436,48.0,48.0,1,1,SF,,Benign1,0
1540471557.061917,192.168.1.132,1900,239.255.255.250,1900,udp,-,766.04856,28260.0,0.0,90,0,S0,,Benign1,0
1540472384.714259,192.168.1.132,1900,239.255.255.250,1900,udp,-,50.851218,3768.0,0.0,12,0,S0,,Benign1,0
1540472524.852647,192.168.1.132,56806,52.209.221.67,80,tcp,http,0.088446,1847.0,1539.0,7,7,SF,,Benign1,0
1540472524.944342,192.168.1.132,60404,52.215.95.120,80,tcp,http,0.109187,1847.0,791.0,6,6,SF,,Benign1,0
1540472524.797195,192.168.1.132,40730,192.168.1.1,53,udp,dns,0.050455,37.0,179.0,1,1,SF,,Benign1,0
1540472524.848149,192.168.1.132,50152,192.168.1.1,53,udp,dns,0.003998,37.0,442.0,1,1,SF,,Benign1,0
1540472524.942095,192.168.1.132,42585,192.168.1.1,53,udp,dns,0.000499,37.0,100.0,1,1,SF,,Benign1,0
1540472524.943343,192.168.1.132,49327,192.168.1.1,53,udp,dns,0.0005,37.0,132.0,1,1,SF,,Benign1,0
1540472531.58253,192.168.1.132,53406,2.16.60.82,443,tcp,-,0.003499,0.0,0.0,4,3,SF,,Benign1,0
1540472531.535825,192.168.1.132,41945,192.168.1.1,53,udp,dns,0.04621,34.0,297.0,1,1,SF,,Benign1,0
1540472494.191783,192.168.1.132,60468,216.239.35.4,123,udp,-,0.114417,48.0,48.0,1,1,SF,,Benign1,0
1540472539.348081,192.168.1.132,47872,216.239.35.8,123,udp,-,0.017238,48.0,48.0,1,1,SF,,Benign1,0
1540472502.078251,192.168.1.132,1900,239.255.255.250,1900,udp,-,50.868027,3768.0,0.0,12,0,S0,,Benign1,0
1540473275.464119,192.168.1.132,40117,216.239.35.12,123,udp,-,0.269349,48.0,48.0,1,1,SF,,Benign1,0
1540473431.620666,192.168.1.132,56414,2.16.60.139,443,tcp,-,0.003495,0.0,0.0,5,3,SF,,Benign1,0
1540473431.583954,192.168.1.132,44519,192.168.1.1,53,udp,dns,0.036214,34.0,311.0,1,1,SF,,Benign1,0
1540472614.499427,192.168.1.132,1900,239.255.255.250,1900,udp,-,1480.810378,52752.0,0.0,168,0,S0,,Benign1,0
1540474331.823843,192.168.1.132,53408,2.16.60.82,443,tcp,-,0.003496,0.0,0.0,4,2,SF,,Benign1,0
1540474331.623219,192.168.1.132,35624,192.168.1.1,53,udp,dns,0.200137,34.0,297.0,1,1,SF,,Benign1,0
1540474466.832336,192.168.1.132,37547,216.239.35.0,123,udp,-,0.109694,48.0,48.0,1,1,SF,,Benign1,0
1540474595.043308,192.168.1.132,42661,216.239.35.4,123,udp,-,0.116179,48.0,48.0,1,1,SF,,Benign1,0
1540474660.224139,192.168.1.132,58337,216.239.35.8,123,udp,-,0.016732,48.0,48.0,1,1,SF,,Benign1,0
1540475231.950154,192.168.1.132,53409,2.16.60.82,443,tcp,-,3.000292,0.0,0.0,6,2,SF,,Benign1,0
1540475231.829978,192.168.1.132,37762,192.168.1.1,53,udp,dns,0.119679,34.0,297.0,1,1,SF,,Benign1,0
1540474155.445242,192.168.1.132,1900,239.255.255.250,1900,udp,-,1032.879228,37680.0,0.0,120,0,S0,,Benign1,0
1540475249.018951,192.168.1.132,1900,239.255.255.250,1900,udp,-,50.83058,3768.0,0.0,12,0,S0,,Benign1,0
1540475357.340566,192.168.1.132,60830,216.239.35.12,123,udp,-,0.270102,48.0,48.0,1,1,SF,,Benign1,0
1540475359.960583,192.168.1.132,1900,239.255.255.250,1900,udp,-,322.370929,13188.0,0.0,42,0,S0,,Benign1,0
1540476124.983569,192.168.1.132,56812,52.209.221.67,80,tcp,http,0.089448,1847.0,1539.0,7,7,SF,,Benign1,0
1540476125.075766,192.168.1.132,60410,52.215.95.120,80,tcp,http,0.114934,1847.0,791.0,6,6,SF,,Benign1,0
1540476124.798177,192.168.1.132,44113,192.168.1.1,53,udp,dns,0.180398,37.0,179.0,1,1,SF,,Benign1,0
1540476124.979321,192.168.1.132,55180,192.168.1.1,53,udp,dns,0.003752,37.0,442.0,1,1,SF,,Benign1,0
1540476125.073768,192.168.1.132,52508,192.168.1.1,53,udp,dns,0.000499,37.0,100.0,1,1,SF,,Benign1,0
1540476125.074767,192.168.1.132,57276,192.168.1.1,53,udp,dns,0.00075,37.0,132.0,1,1,SF,,Benign1,0
1540476135.012856,192.168.1.132,53412,2.16.60.82,443,tcp,-,0.003496,0.0,0.0,4,2,SF,,Benign1,0
1540476134.950397,192.168.1.132,50702,192.168.1.1,53,udp,dns,0.061961,34.0,311.0,1,1,SF,,Benign1,0
1540476614.709889,192.168.1.132,58852,216.239.35.0,123,udp,-,0.109678,48.0,48.0,1,1,SF,,Benign1,0
1540476757.919723,192.168.1.132,48147,216.239.35.4,123,udp,-,0.114433,48.0,48.0,1,1,SF,,Benign1,0
1540476804.080158,192.168.1.132,45244,216.239.35.8,123,udp,-,0.016723,48.0,48.0,1,1,SF,,Benign1,0
1540477035.058426,192.168.1.132,56420,2.16.60.139,443,tcp,-,0.003248,0.0,0.0,4,2,SF,,Benign1,0
1540477035.015706,192.168.1.132,52447,192.168.1.1,53,udp,dns,0.042224,34.0,297.0,1,1,SF,,Benign1,0
1540475744.953356,192.168.1.132,1900,239.255.255.250,1900,udp,-,1643.646987,58404.0,0.0,186,0,S0,,Benign1,0
1540477474.197539,192.168.1.132,33243,216.239.35.12,123,udp,-,0.269861,48.0,48.0,1,1,SF,,Benign1,0
1540477502.39921,192.168.1.132,1900,239.255.255.250,1900,udp,-,109.999279,5652.0,0.0,18,0,S0,,Benign1,0
1540477935.096245,192.168.1.132,56602,2.16.60.139,443,tcp,-,0.003497,0.0,0.0,5,3,SF,,Benign1,0
1540477935.060518,192.168.1.132,46059,192.168.1.1,53,udp,dns,0.03498,34.0,297.0,1,1,SF,,Benign1,0
1540478671.568043,192.168.1.132,45914,216.239.35.0,123,udp,-,0.109194,48.0,48.0,1,1,SF,,Benign1,0
1540478835.206048,192.168.1.132,53596,2.16.60.82,443,tcp,-,0.003498,0.0,0.0,4,2,SF,,Benign1,0
1540478835.098119,192.168.1.132,52404,192.168.1.1,53,udp,dns,0.107433,34.0,297.0,1,1,SF,,Benign1,0
1540478897.777652,192.168.1.132,52156,216.239.35.8,123,udp,-,0.016983,48.0,48.0,1,1,SF,,Benign1,0
1540478909.806048,192.168.1.132,47693,216.239.35.4,123,udp,-,0.114429,48.0,48.0,1,1,SF,,Benign1,0
1540479532.01968,192.168.1.132,46724,216.239.35.12,123,udp,-,0.269841,48.0,48.0,1,1,SF,,Benign1,0
1540479724.840014,192.168.1.132,60596,52.215.95.120,80,tcp,http,0.093946,1847.0,1539.0,7,7,SF,,Benign1,0
1540479724.93696,192.168.1.132,57000,52.209.221.67,80,tcp,http,0.126426,1847.0,791.0,6,6,SF,,Benign1,0
1540479724.795308,192.168.1.132,57927,192.168.1.1,53,udp,dns,0.039463,37.0,179.0,1,1,SF,,Benign1,0
1540479724.835267,192.168.1.132,43483,192.168.1.1,53,udp,dns,0.00425,37.0,442.0,1,1,SF,,Benign1,0
1540479724.934961,192.168.1.132,47067,192.168.1.1,53,udp,dns,0.000499,37.0,100.0,1,1,SF,,Benign1,0
1540479724.935959,192.168.1.132,51670,192.168.1.1,53,udp,dns,0.0005,37.0,132.0,1,1,SF,,Benign1,0
1540479735.255579,192.168.1.132,53599,2.16.60.82,443,tcp,-,0.00325,0.0,0.0,4,3,SF,,Benign1,0
1540479735.208374,192.168.1.132,59133,192.168.1.1,53,udp,dns,0.046721,34.0,297.0,1,1,SF,,Benign1,0
1540480635.309043,192.168.1.132,56607,2.16.60.139,443,tcp,-,0.003745,0.0,0.0,4,3,SF,,Benign1,0
1540480635.257336,192.168.1.132,50151,192.168.1.1,53,udp,dns,0.051225,34.0,297.0,1,1,SF,,Benign1,0
1540480739.387242,192.168.1.132,54251,216.239.35.0,123,udp,-,0.10968,48.0,48.0,1,1,SF,,Benign1,0
1540480974.59744,192.168.1.132,37639,216.239.35.8,123,udp,-,0.01699,48.0,48.0,1,1,SF,,Benign1,0
1540481064.704348,192.168.1.132,54182,216.239.35.4,123,udp,-,0.114424,48.0,48.0,1,1,SF,,Benign1,0
1540481535.351819,192.168.1.132,53601,2.16.60.82,443,tcp,-,0.003247,0.0,0.0,5,3,SF,,Benign1,0
1540481535.310853,192.168.1.132,38186,192.168.1.1,53,udp,dns,0.04047,34.0,297.0,1,1,SF,,Benign1,0
1540481638.915048,192.168.1.132,41893,216.239.35.12,123,udp,-,0.272601,48.0,48.0,1,1,SF,,Benign1,0
1540482435.551159,192.168.1.132,53602,2.16.60.82,443,tcp,-,0.003501,0.0,0.0,4,3,SF,,Benign1,0
1540482435.354029,192.168.1.132,41753,192.168.1.1,53,udp,dns,0.196634,34.0,297.0,1,1,SF,,Benign1,0
1540482803.287863,192.168.1.132,41445,216.239.35.0,123,udp,-,0.109685,48.0,48.0,1,1,SF,,Benign1,0
1540483123.497131,192.168.1.132,36649,216.239.35.8,123,udp,-,0.016989,48.0,48.0,1,1,SF,,Benign1,0
1540483150.54047,192.168.1.132,53816,216.239.35.4,123,udp,-,0.114182,48.0,48.0,1,1,SF,,Benign1,0
